"","Coded.ID","Grade.Level","Year","PSAT","Class.Absences","X2.D.Art.and.Design","X3.D.Art.and.Design","Art.History","Biology","Calculus.AB","Calculus.BC","Calculus.BC..AB.Subscore","Chemistry","Computer.Science.A","Computer.Science.Principles","English.Language.and.Composition","English.Literature.and.Composition","Environmental.Science","European.History","Latin","Physics.C..Electricity.and.Magnetism","Physics.C..Mechanics","Spanish.Language.and.Culture","Statistics","United.States.History","World.History..Modern","X","Quantitative Reasoning","Verbal Reasoning"
"1",1,"12th Grade",2023,1130,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,"11th Grade",2022,1130,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"3",2,"11th Grade",2023,1060,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,38,55
"4",3,"12th Grade",2023,NA,77,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",4,"12th Grade",2023,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",5,"10th Grade",2023,1150,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,67,67
"7",6,"12th Grade",2023,1040,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,25,34
"8",6,"11th Grade",2022,1040,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,25,34
"9",7,"12th Grade",2023,1250,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,60,72
"10",7,"11th Grade",2022,1250,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,60,72
